0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1014,6,H,LosAngeles,0,1,1,2,-130,-144,-1.5,195,5.5,-135.0,5.0,115.0
1015,51,V,Winnipeg,2,0,1,3,130,145,1.5,-210,5,-125.0,5.0,-140.0
1015,52,H,Minnesota,0,3,1,4,-150,-165,-1.5,180,5,105.0,5.0,120.0
1015,53,V,Montreal,0,1,2,3,-105,100,1.5,-290,5.5,-105.0,5.5,-105.0
1015,54,H,Ottawa,2,0,1,4,-115,-120,-1.5,230,5.5,-115.0,5.5,-115.0
1015,55,V,NYIslanders,1,0,0,1,145,164,1.5,-185,5.5,115.0,5.0,-135.0
1015,56,H,Washington,1,1,0,2,-165,-184,-1.5,165,5.5,-135.0,5.0,115.0
1015,57,V,NewJersey,2,0,0,2,165,154,1.5,-200,5,115.0,5.0,-105.0
1015,58,H,TampaBay,0,2,1,3,-185,-174,-1.5,170,5,-135.0,5.0,-115.0
1015,59,V,Detroit,1,0,0,1,130,115,1.5,-260,5,-115.0,5.0,-120.0
1015,60,H,Florida,2,0,2,4,-150,-135,-1.5,210,5,-105.0,5.0,100.0
1015,61,V,Anaheim,1,1,0,2,110,133,1.5,-245,5,-120.0,5.0,-125.0
1015,62,H,Pittsburgh,1,2,0,3,-130,-153,-1.5,205,5,100.0,5.0,105.0
1015,63,V,SanJose,2,0,1,3,-130,-159,-1.5,190,5.5,115.0,5.5,110.0
1015,64,H,Columbus,0,0,2,2,110,139,1.5,-230,5.5,-135.0,5.5,-130.0
1015,65,V,Boston,1,0,0,1,-115,-105,1.5,-310,5.5,-115.0,5.5,-126.0
1015,66,H,Toronto,3,0,1,4,-105,-115,-1.5,250,5.5,-105.0,5.5,106.0
1015,67,V,NYRangers,1,1,0,2,116,108,1.5,-260,5,-130.0,5.0,-130.0
1015,68,H,St.Louis,2,1,0,3,-136,-128,-1.5,210,5,110.0,5.0,110.0
1015,69,V,Nashville,1,1,1,3,120,115,1.5,-260,5.5,110.0,5.5,110.0
1015,70,H,Chicago,3,0,2,5,-140,-135,-1.5,210,5.5,-130.0,5.5,-130.0
1015,71,V,Dallas,2,2,1,5,-105,-115,-1.5,230,5.5,-125.0,5.5,-135.0
1015,72,H,Colorado,2,3,1,6,-115,-105,1.5,-290,5.5,105.0,5.5,115.0
1015,73,V,Philadelphia,1,1,1,3,-105,-101,1.5,-300,5.5,100.0,5.0,-145.0
1015,74,H,Arizona,2,1,0,4,-115,-119,-1.5,240,5.5,-120.0,5.0,125.0
1015,75,V,Calgary,1,0,0,1,110,102,1.5,-290,5.5,105.0,5.5,100.0
1015,76,H,Vancouver,0,0,1,2,-130,-122,-1.5,230,5.5,-125.0,5.5,-120.0
1016,1,V,Anaheim,0,0,2,2,110,101,1.5,-300,5,-135.0,5.5,115.0
1016,2,H,NYIslanders,1,0,1,3,-130,-121,-1.5,240,5,115.0,5.5,-135.0
1016,3,V,Buffalo,2,2,2,6,160,162,1.5,-200,5.5,110.0,5.5,100.0
1016,4,H,Edmonton,2,0,0,2,-180,-182,-1.5,170,5.5,-130.0,5.5,-120.0
1016,5,V,Carolina,2,1,0,3,-102,-137,-1.5,225,5,-135.0,5.0,-145.0
1016,6,H,Vancouver,0,1,2,4,-118,117,1.5,-275,5,115.0,5.0,125.0
1017,51,V,SanJose,1,0,3,4,-105,-140,-1.5,210,5.5,120.0,5.0,-130.0
1017,52,H,NYRangers,1,2,4,7,-115,120,1.5,-260,5.5,-140.0,5.0,110.0
1017,53,V,Colorado,2,0,1,4,140,151,1.5,-200,5.5,-105.0,5.5,-105.0
1017,54,H,Pittsburgh,2,0,1,3,-160,-171,-1.5,170,5.5,-115.0,5.5,-115.0
1017,55,V,Ottawa,0,1,0,1,117,125,1.5,-245,5.5,105.0,5.5,-105.0
1017,56,H,Detroit,3,0,2,5,-137,-145,-1.5,205,5.5,-125.0,5.5,-115.0
1017,57,V,Boston,1,1,2,4,-105,104,1.5,-315,5.5,110.0,5.5,115.0
1017,58,H,Winnipeg,1,0,0,1,-115,-124,-1.5,250,5.5,-130.0,5.5,-135.0
1018,1,V,Anaheim,1,0,0,1,-120,-112,-1.5,250,5,100.0,5.0,-110.0
1018,2,H,NewJersey,0,2,0,2,100,-108,1.5,-315,5,-120.0,5.0,-110.0
1018,3,V,Colorado,0,0,0,0,180,170,1.5,-175,5.5,105.0,5.5,-105.0
1018,4,H,Washington,1,1,1,3,-210,-200,-1.5,155,5.5,-125.0,5.5,-115.0
1018,5,V,SanJose,1,1,1,3,105,-108,1.5,-290,5.5,100.0,5.5,100.0
1018,6,H,NYIslanders,0,2,0,2,-125,-112,-1.5,230,5.5,-120.0,5.5,-120.0
1018,7,V,Pittsburgh,0,0,0,0,110,104,1.5,-300,5.5,-110.0,5.5,105.0
1018,8,H,Montreal,1,1,2,4,-130,-124,-1.5,240,5.5,-110.0,5.5,-125.0
1018,9,V,Florida,0,1,2,3,145,122,1.5,-240,5,-130.0,5.0,-145.0
1018,10,H,TampaBay,0,2,1,4,-165,-142,-1.5,200,5,110.0,5.0,125.0
1018,11,V,Arizona,1,0,3,4,115,100,1.5,-275,5.5,-110.0,5.5,-115.0
1018,12,H,Ottawa,2,1,4,7,-135,-120,-1.5,225,5.5,-110.0,5.5,-105.0
1018,13,V,Dallas,0,1,1,2,115,137,1.5,-230,5.5,-115.0,6.0,-115.0
1018,14,H,Nashville,0,1,0,1,-135,-157,-1.5,190,5.5,-105.0,6.0,-105.0
1018,15,V,LosAngeles,1,0,2,3,125,102,1.5,-300,5,-130.0,5.0,-140.0
1018,16,H,Minnesota,2,3,1,6,-145,-122,-1.5,240,5,110.0,5.0,120.0
1018,17,V,Philadelphia,0,1,3,4,145,125,1.5,-230,5.5,110.0,5.5,120.0
1018,18,H,Chicago,3,1,3,7,-165,-145,-1.5,190,5.5,-130.0,5.5,-140.0
1018,19,V,Carolina,0,0,2,2,120,120,1.5,-260,5.5,-110.0,5.5,105.0
1018,20,H,Edmonton,2,1,0,3,-140,-140,-1.5,210,5.5,-110.0,5.5,-125.0
1018,21,V,Buffalo,1,1,1,3,125,135,1.5,-230,5.5,-105.0,5.5,110.0
1018,22,H,Calgary,1,0,2,4,-145,-155,-1.5,190,5.5,-115.0,5.5,-130.0
1018,23,V,St.Louis,0,1,0,1,-150,-158,-1.5,195,5,-125.0,5.0,-140.0
1018,24,H,Vancouver,0,0,1,2,130,138,1.5,-235,5,105.0,5.0,120.0
1019,51,V,Detroit,0,1,1,2,135,150,1.5,-200,5.5,100.0,5.5,100.0
1019,52,H,NYRangers,1,0,0,1,-155,-170,-1.5,170,5.5,-120.0,5.5,-120.0
1019,53,V,Toronto,2,2,0,4,110,-105,1.5,-300,5.5,-110.0,5.5,-121.0
1019,54,H,Winnipeg,0,1,3,5,-130,-115,-1.5,240,5.5,-110.0,5.5,101.0
1020,1,V,Anaheim,1,1,1,3,-102,105,1.5,-300,5,-140.0,5.0,-135.0
1020,2,H,Philadelphia,0,2,0,2,-118,-125,-1.5,240,5,120.0,5.0,115.0
1020,3,V,SanJose,0,2,0,2,-108,-130,-1.5,229,5.5,105.0,5.5,120.0
1020,4,H,Pittsburgh,0,0,3,3,-112,110,1.5,-279,5.5,-125.0,5.5,-140.0
1020,5,V,NewJersey,0,0,1,1,125,140,1.5,-230,5,100.0,5.0,-110.0
1020,6,H,Boston,0,0,2,2,-145,-160,-1.5,190,5,-120.0,5.0,-110.0
1020,7,V,Arizona,0,2,0,2,170,160,1.5,-175,5.5,100.0,5.5,115.0
1020,8,H,Montreal,1,3,1,5,-200,-180,-1.5,155,5.5,-120.0,5.5,-135.0
1020,9,V,Washington,2,0,2,4,-120,-111,-1.5,250,5,-130.0,5.0,110.0
1020,10,H,Florida,1,1,0,2,100,-109,1.5,-310,5,110.0,5.0,-130.0
1020,11,V,Colorado,1,1,2,4,155,165,1.5,-185,5.5,-105.0,5.5,110.0
1020,12,H,TampaBay,0,0,0,0,-175,-185,-1.5,165,5.5,-115.0,5.5,-130.0
1020,13,V,Toronto,0,2,0,2,160,170,1.5,-180,5.5,105.0,5.5,105.0
1020,14,H,Minnesota,0,1,2,3,-180,-200,-1.5,160,5.5,-125.0,5.5,-125.0
1020,15,V,LosAngeles,1,2,0,4,135,130,1.5,-231,5.5,-110.0,6.0,-105.0
1020,16,H,Dallas,1,1,1,3,-155,-150,-1.5,192,5.5,-110.0,6.0,-115.0
1020,17,V,St.Louis,0,1,0,1,-125,-130,-1.5,225,5.5,110.0,5.5,105.0
1020,18,H,Edmonton,0,1,2,3,105,110,1.5,-275,5.5,-130.0,5.5,-125.0
1020,19,V,Carolina,2,1,1,4,135,124,1.5,-245,5.5,-105.0,5.5,115.0
1020,20,H,Calgary,0,1,1,2,-155,-144,-1.5,205,5.5,-115.0,5.5,-135.0
1020,21,V,Buffalo,0,0,1,1,120,121,1.5,-260,5.5,115.0,5.0,-135.0
1020,22,H,Vancouver,0,1,1,2,-140,-141,-1.5,210,5.5,-135.0,5.0,115.0
1021,51,V,Arizona,2,0,0,2,190,170,1.5,-170,5.5,-120.0,5.5,-120.0
1021,52,H,NYIslanders,2,0,1,3,-230,-200,-1.5,150,5.5,100.0,5.5,100.0
1021,53,V,Chicago,0,1,1,2,-145,-112,-1.5,245,5.5,-105.0,5.5,-125.0
1021,54,H,Columbus,1,2,0,3,125,-108,1.5,-305,5.5,-115.0,5.5,105.0
1021,55,V,Nashville,0,2,1,3,-113,-129,-1.5,230,5.5,115.0,5.0,-140.0
1021,56,H,Detroit,0,2,3,5,-107,109,1.5,-290,5.5,-135.0,5.0,120.0
1022,1,V,NYRangers,0,3,1,4,145,145,1.5,-210,5,-130.0,5.0,-118.0
1022,2,H,Washington,2,0,0,2,-165,-165,-1.5,180,5,110.0,5.0,-102.0
1022,3,V,Montreal,0,2,2,4,-105,-117,-1.5,260,5,-125.0,5.5,120.0
1022,4,H,Boston,0,0,2,2,-115,-103,1.5,-325,5,105.0,5.5,-140.0
1022,5,V,Toronto,1,2,1,4,155,133,1.5,-230,5.5,-105.0,5.5,-105.0
1022,6,H,Chicago,1,1,2,5,-175,-153,-1.5,190,5.5,-115.0,5.5,-115.0
1022,7,V,Carolina,0,3,0,3,125,112,1.5,-275,5,-140.0,5.0,-140.0
1022,8,H,Philadelphia,0,4,2,6,-145,-132,-1.5,225,5,120.0,5.0,120.0
1022,9,V,SanJose,0,0,0,0,-145,-165,-1.5,190,5.5,110.0,5.5,110.0
1022,10,H,Detroit,0,2,1,3,125,145,1.5,-230,5.5,-130.0,5.5,-130.0
1022,11,V,Minnesota,0,1,0,1,-102,-112,-1.5,265,5,100.0,5.0,115.0
1022,12,H,NewJersey,0,0,1,2,-118,-108,1.5,-330,5,-120.0,5.0,-135.0
1022,13,V,TampaBay,0,2,2,4,-125,-125,-1.5,250,5.5,100.0,5.5,-105.0
1022,14,H,Ottawa,0,1,0,1,105,105,1.5,-315,5.5,-120.0,5.5,-115.0
1022,15,V,Colorado,1,0,1,2,125,133,1.5,-240,5.5,110.0,5.0,-135.0
1022,16,H,Florida,0,2,3,5,-145,-153,-1.5,200,5.5,-130.0,5.0,115.0
1022,17,V,Columbus,0,1,2,3,175,165,1.5,-185,6,-110.0,6.0,100.0
1022,18,H,Dallas,0,0,0,0,-205,-185,-1.5,165,6,-110.0,6.0,-120.0
1022,19,V,Pittsburgh,1,0,0,1,-108,-126,-1.5,230,5.5,115.0,5.5,110.0
1022,20,H,Nashville,1,4,0,5,-112,106,1.5,-290,5.5,-135.0,5.5,-130.0
1022,21,V,Vancouver,0,2,1,3,135,151,1.5,-210,5,-135.0,5.0,-120.0
1022,22,H,LosAngeles,2,1,0,4,-155,-171,-1.5,180,5,115.0,5.0,100.0
1022,23,V,St.Louis,1,3,2,6,-135,-140,-1.5,230,5.5,100.0,5.5,120.0
1022,24,H,Calgary,0,2,2,4,115,120,1.5,-280,5.5,-120.0,5.5,-140.0
1023,51,V,Edmonton,0,3,0,3,109,-118,-1.5,245,5.5,-130.0,5.5,-125.0
1023,52,H,Winnipeg,0,0,0,0,-129,-102,1.5,-305,5.5,110.0,5.5,105.0
1023,53,V,Minnesota,0,2,1,3,115,118,1.5,-260,5,-140.0,5.5,115.0
1023,54,H,NYIslanders,0,3,3,6,-135,-138,-1.5,210,5,120.0,5.5,-135.0
1023,55,V,Arizona,1,1,0,2,160,161,1.5,-185,5.5,-112.0,5.5,-110.0
1023,56,H,NYRangers,1,1,1,3,-180,-181,-1.5,165,5.5,-108.0,5.5,-110.0
1023,57,V,Vancouver,1,0,1,2,165,166,1.5,-200,5,-130.0,5.0,-115.0
1023,58,H,Anaheim,1,1,2,4,-185,-186,-1.5,170,5,110.0,5.0,-105.0
1024,1,V,Philadelphia,0,1,0,1,145,151,1.5,-200,5,-140.0,5.0,-130.0
1024,2,H,Montreal,0,1,2,3,-165,-171,-1.5,170,5,120.0,5.0,110.0
1024,3,V,Calgary,1,1,0,3,165,160,1.5,-185,5.5,100.0,5.5,-105.0
1024,4,H,Chicago,0,1,1,2,-185,-180,-1.5,165,5.5,-120.0,5.5,-115.0
1025,51,V,Florida,1,1,0,2,145,137,1.5,-230,5,-135.0,5.0,-135.0
1025,52,H,Pittsburgh,0,1,2,3,-165,-157,-1.5,190,5,115.0,5.0,115.0
1025,53,V,Minnesota,0,4,1,5,-114,-127,-1.5,245,5.5,105.0,5.5,100.0
1025,54,H,Boston,0,0,0,0,-106,107,1.5,-305,5.5,-125.0,5.5,-120.0
1025,55,V,Arizona,1,0,2,3,140,142,1.5,-215,5,-125.0,5.0,-110.0
1025,56,H,NewJersey,1,2,2,5,-160,-162,-1.5,185,5,105.0,5.0,-110.0
1025,57,V,Buffalo,0,3,0,3,140,131,1.5,-235,5.5,115.0,5.5,100.0
1025,58,H,Philadelphia,0,0,3,4,-160,-151,-1.5,195,5.5,-135.0,5.5,-120.0
1025,59,V,Carolina,0,2,0,2,140,132,1.5,-235,5.5,110.0,5.5,120.0
1025,60,H,Detroit,3,1,0,4,-160,-152,-1.5,195,5.5,-130.0,5.5,-140.0
1025,61,V,TampaBay,3,1,3,7,-145,-143,-1.5,210,5.5,105.0,5.5,115.0
1025,62,H,Toronto,0,1,2,3,125,123,1.5,-260,5.5,-125.0,5.5,-135.0
1025,63,V,Calgary,2,1,1,4,175,175,1.5,-170,5.5,100.0,5.5,100.0
1025,64,H,St.Louis,0,0,1,1,-205,-205,-1.5,150,5.5,-120.0,5.5,-120.0
1025,65,V,Winnipeg,0,1,1,2,150,120,1.5,-240,6,-105.0,5.5,-110.0
1025,66,H,Dallas,1,1,1,3,-170,-140,-1.5,200,6,-115.0,5.5,-110.0
1025,67,V,Ottawa,1,0,2,3,105,-120,-1.5,250,5.5,110.0,5.5,110.0
1025,68,H,Vancouver,0,0,0,0,-125,100,1.5,-315,5.5,-130.0,5.5,-130.0
1025,69,V,Anaheim,0,1,0,1,135,140,1.5,-235,5,-125.0,5.0,-125.0
1025,70,H,SanJose,1,0,0,2,-155,-160,-1.5,195,5,105.0,5.0,105.0
1025,71,V,Columbus,0,2,0,2,140,140,1.5,-210,5.5,100.0,5.5,110.0
1025,72,H,LosAngeles,0,1,1,3,-160,-160,-1.5,180,5.5,-120.0,5.5,-130.0
1026,1,V,Montreal,0,1,2,3,100,105,1.5,-305,5,-110.0,5.5,120.0
1026,2,H,NYIslanders,0,1,1,2,-120,-125,-1.5,245,5,-110.0,5.5,-140.0
1026,3,V,Boston,2,0,0,2,165,185,1.5,-165,5.5,-105.0,5.5,-105.0
1026,4,H,NYRangers,0,3,2,5,-185,-215,-1.5,145,5.5,-115.0,5.5,-115.0
1026,5,V,Washington,0,0,1,1,-130,-165,-1.5,185,5.5,115.0,5.0,-135.0
1026,6,H,Edmonton,0,2,2,4,110,145,1.5,-215,5.5,-135.0,5.0,115.0
1026,7,V,Nashville,0,0,1,1,-117,-135,-1.5,231,5,-125.0,5.0,-120.0
1026,8,H,Anaheim,1,5,0,6,-103,115,1.5,-291,5,105.0,5.0,100.0
1027,51,V,Minnesota,2,0,2,4,-140,-135,-1.5,210,5,-130.0,5.0,-130.0
1027,52,H,Buffalo,0,0,0,0,120,115,1.5,-260,5,110.0,5.0,110.0
1027,53,V,NYIslanders,0,1,1,2,155,151,1.5,-200,5.5,110.0,5.5,105.0
1027,54,H,Pittsburgh,1,0,3,4,-175,-171,-1.5,170,5.5,-130.0,5.5,-125.0
1027,55,V,Arizona,2,0,3,5,155,155,1.5,-210,5.5,-115.0,5.5,-125.0
1027,56,H,Philadelphia,0,2,2,4,-175,-175,-1.5,180,5.5,-105.0,5.5,105.0
1027,57,V,Florida,1,1,0,2,-125,-119,-1.5,245,5.5,105.0,5.5,110.0
1027,58,H,Toronto,1,2,0,3,105,-101,1.5,-305,5.5,-125.0,5.5,-130.0
1027,59,V,TampaBay,0,1,0,1,105,-105,1.5,-305,5,-130.0,5.0,-125.0
1027,60,H,Montreal,0,0,3,3,-125,-115,-1.5,245,5,110.0,5.0,105.0
1027,61,V,Detroit,0,1,0,2,140,144,1.5,-215,5,-145.0,5.0,-125.0
1027,62,H,St.Louis,0,1,0,1,-160,-164,-1.5,185,5,125.0,5.0,105.0
1027,63,V,Dallas,0,0,1,1,110,101,1.5,-300,5.5,-115.0,5.5,-115.0
1027,64,H,Winnipeg,2,1,1,4,-130,-121,-1.5,240,5.5,-105.0,5.5,-105.0
1027,65,V,Columbus,0,0,1,1,170,175,1.5,-165,5.5,110.0,5.0,-150.0
1027,66,H,SanJose,1,0,2,3,-200,-205,-1.5,145,5.5,-130.0,5.0,130.0
1027,67,V,Nashville,0,1,1,2,120,131,1.5,-234,5.5,-105.0,5.5,110.0
1027,68,H,LosAngeles,0,1,1,3,-140,-151,-1.5,195,5.5,-115.0,5.5,-130.0
1028,1,V,Chicago,0,1,1,3,-140,-133,-1.5,210,5,-135.0,5.0,-140.0
1028,2,H,NewJersey,1,0,1,2,120,113,1.5,-260,5,115.0,5.0,120.0
1028,3,V,NYRangers,1,1,0,2,-135,-131,-1.5,205,5.5,110.0,5.5,115.0
1028,4,H,Carolina,1,2,0,3,115,111,1.5,-245,5.5,-130.0,5.5,-135.0
1028,5,V,Winnipeg,0,1,0,1,135,156,1.5,-205,5.5,-130.0,5.5,-105.0
1028,6,H,Colorado,0,0,0,0,-155,-176,-1.5,175,5.5,110.0,5.5,-115.0
1028,7,V,Ottawa,2,0,0,2,110,112,1.5,-270,5.5,-120.0,5.5,-135.0
1028,8,H,Calgary,1,2,2,5,-130,-132,-1.5,220,5.5,100.0,5.5,115.0
1028,9,V,Columbus,4,0,0,4,175,170,1.5,-170,5.5,115.0,5.0,-140.0
1028,10,H,Anaheim,0,0,0,0,-205,-200,-1.5,150,5.5,-135.0,5.0,120.0
1028,11,V,Edmonton,0,1,1,2,-130,-125,-1.5,240,5,-135.0,5.0,-130.0
1028,12,H,Vancouver,0,0,0,0,110,105,1.5,-300,5,115.0,5.0,110.0
1029,51,V,Florida,0,0,0,0,-140,-148,-1.5,205,5,-125.0,5.0,-125.0
1029,52,H,Buffalo,1,1,1,3,120,128,1.5,-245,5,105.0,5.0,105.0
1029,53,V,Pittsburgh,3,1,1,5,-125,-118,-1.5,245,5.5,110.0,5.5,115.0
1029,54,H,Philadelphia,2,2,0,4,105,-102,1.5,-305,5.5,-130.0,5.5,-135.0
1029,55,V,TampaBay,0,0,1,1,-135,-130,-1.5,240,5,110.0,5.0,105.0
1029,56,H,NewJersey,2,1,0,3,115,110,1.5,-300,5,-130.0,5.0,-125.0
1029,57,V,Toronto,0,0,1,1,170,152,1.5,-180,5.5,105.0,5.5,110.0
1029,58,H,Montreal,0,1,1,2,-200,-172,-1.5,160,5.5,-125.0,5.5,-130.0
1029,59,V,Boston,0,1,0,1,135,115,1.5,-260,5.5,105.0,5.5,105.0
1029,60,H,Detroit,0,0,0,0,-155,-135,-1.5,210,5.5,-125.0,5.5,-125.0
1029,61,V,Dallas,0,0,0,0,130,123,1.5,-219,5.5,100.0,5.5,125.0
1029,62,H,Minnesota,1,0,3,4,-150,-143,-1.5,183,5.5,-120.0,5.5,-145.0
1029,63,V,LosAngeles,0,0,0,0,120,141,1.5,-215,5,-145.0,5.0,-130.0
1029,64,H,St.Louis,0,0,1,1,-140,-161,-1.5,185,5,125.0,5.0,110.0
1029,65,V,Colorado,0,1,2,3,100,-108,1.5,-315,5.5,-140.0,5.5,-110.0
1029,66,H,Arizona,1,0,1,2,-120,-112,-1.5,250,5.5,120.0,5.5,-110.0
1029,67,V,Washington,2,1,2,5,-180,-200,-1.5,150,5,-130.0,5.0,-120.0
1029,68,H,Vancouver,1,1,0,2,160,170,1.5,-170,5,110.0,5.0,100.0
1029,69,V,Nashville,0,1,0,1,145,140,1.5,-210,5.5,115.0,5.5,115.0
1029,70,H,SanJose,1,2,1,4,-165,-160,-1.5,180,5.5,-135.0,5.5,-135.0
1030,1,V,Buffalo,2,1,0,3,149,145,1.5,-215,5.5,-101.0,5.5,115.0
1030,2,H,Winnipeg,0,0,1,1,-169,-165,-1.5,185,5.5,-119.0,5.5,-135.0
1030,3,V,Florida,3,2,0,5,115,-105,1.5,-305,5,-125.0,5.0,-130.0
1030,4,H,Detroit,0,1,1,2,-135,-115,-1.5,245,5,105.0,5.0,110.0
1030,5,V,Philadelphia,1,2,1,4,113,124,1.5,-245,5.5,104.0,5.5,110.0
1030,6,H,Carolina,0,3,0,3,-133,-144,-1.5,205,5.5,-124.0,5.5,-130.0
1030,7,V,Toronto,0,0,1,1,155,164,1.5,-210,5.5,-104.0,5.5,-110.0
1030,8,H,NYIslanders,2,0,3,5,-175,-184,-1.5,180,5.5,-116.0,5.5,-110.0
1030,9,V,TampaBay,0,0,1,1,107,101,1.5,-275,5,-123.0,5.5,120.0
1030,10,H,NYRangers,0,4,2,6,-127,-121,-1.5,225,5,103.0,5.5,-140.0
1030,11,V,LosAngeles,0,0,0,0,145,139,1.5,-215,5,-130.0,5.0,-135.0
1030,12,H,Chicago,1,1,1,3,-165,-159,-1.5,185,5,110.0,5.0,115.0
1030,13,V,Ottawa,0,1,1,2,127,130,1.5,-230,5.5,-125.0,5.5,-120.0
1030,14,H,Edmonton,0,0,0,0,-147,-150,-1.5,190,5.5,105.0,5.5,100.0
1030,15,V,Washington,2,0,1,3,-150,-135,-1.5,225,5.5,105.0,5.0,-120.0
1030,16,H,Calgary,1,0,0,1,130,115,1.5,-275,5.5,-125.0,5.0,100.0
1101,51,V,St.Louis,0,0,0,0,115,108,1.5,-270,5.5,105.0,5.0,-135.0
1101,52,H,NYRangers,2,3,0,5,-135,-128,-1.5,220,5.5,-125.0,5.0,115.0
1101,53,V,Dallas,0,1,1,2,-117,-103,1.5,-290,5.5,111.0,5.5,-110.0
1101,54,H,Columbus,0,1,1,3,-103,-117,-1.5,230,5.5,-131.0,5.5,-110.0
1101,55,V,TampaBay,3,3,0,6,-120,-116,-1.5,250,5,-111.0,5.5,115.0
1101,56,H,NYIslanders,0,1,0,1,100,-104,1.5,-310,5,-109.0,5.5,-135.0
1101,57,V,Edmonton,1,0,1,2,-115,-109,1.5,-300,5.5,100.0,5.5,-110.0
1101,58,H,Toronto,1,1,0,3,-105,-111,-1.5,240,5.5,-120.0,5.5,-110.0
1101,59,V,Boston,1,1,0,2,108,135,1.5,-230,5.5,100.0,5.0,-105.0
1101,60,H,Florida,0,0,1,1,-128,-155,-1.5,190,5.5,-120.0,5.0,-115.0
1101,61,V,Carolina,1,0,0,1,133,129,1.5,-245,5.5,116.0,5.5,100.0
1101,62,H,Ottawa,1,0,0,2,-153,-149,-1.5,205,5.5,-136.0,5.5,-120.0
1101,63,V,Washington,1,1,1,3,148,-175,-1.5,170,5,-130.0,5.0,-126.0
1101,64,H,Winnipeg,0,0,2,2,-168,155,1.5,-200,5,110.0,5.0,106.0
1101,65,V,Buffalo,1,0,1,2,160,151,1.5,-210,5,-120.0,5.0,-110.0
1101,66,H,Minnesota,0,1,0,1,-180,-171,-1.5,180,5,100.0,5.0,-110.0
1101,67,V,Calgary,0,1,0,1,150,140,1.5,-215,5.5,105.0,5.5,115.0
1101,68,H,Chicago,1,0,4,5,-170,-160,-1.5,185,5.5,-125.0,5.5,-135.0
1101,69,V,Nashville,2,1,2,5,-105,-108,1.5,-315,5.5,-110.0,5.5,120.0
1101,70,H,Colorado,1,0,0,1,-115,-112,-1.5,250,5.5,-110.0,5.5,-140.0
1101,71,V,SanJose,1,0,1,2,-170,-172,-1.5,170,5.5,115.0,5.5,110.0
