0,1,2,3,4,5,6,7,8,9,10,11,12,13
124,53,V,NYRangers,0,0,1,1,105,-115,5.5,120,5.5,120.0
124,54,H,Philadelphia,0,2,0,2,-125,-105,5.5,-140,5.5,-140.0
124,55,V,Montreal,0,4,0,4,120,110,5.5,110,5.5,110.0
124,56,H,Washington,0,0,1,1,-140,-130,5.5,-130,5.5,-130.0
124,57,V,Buffalo,0,2,1,3,100,110,5.5,105,5.5,105.0
124,58,H,Carolina,0,4,2,6,-120,-130,5.5,-125,5.5,-125.0
124,59,V,Ottawa,1,1,1,3,-104,-130,5.5,105,5.5,105.0
124,60,H,Florida,1,0,0,1,-116,110,5.5,-125,5.5,-125.0
124,61,V,Nashville,0,0,0,0,145,155,5,-120,5.0,-120.0
124,62,H,St.Louis,1,1,1,3,-165,-175,5,100,5.0,100.0
124,63,V,Chicago,0,1,1,3,-130,-125,5.5,-110,5.5,-110.0
124,64,H,Dallas,1,1,0,2,110,105,5.5,-110,5.5,-110.0
124,65,V,Columbus,0,0,0,0,150,140,5.5,100,5.5,105.0
124,66,H,Colorado,2,0,2,4,-170,-160,5.5,-120,5.5,-125.0
124,67,V,LosAngeles,0,1,0,1,-125,-130,5,-135,5.0,-140.0
124,68,H,Edmonton,0,0,1,2,105,110,5,115,5.0,120.0
124,69,V,Phoenix,0,1,2,3,155,170,5.5,100,5.5,105.0
124,70,H,SanJose,1,0,4,5,-175,-200,5.5,-120,5.5,-125.0
125,1,V,NYIslanders,1,1,0,2,175,170,5.5,-105,5.5,100.0
125,2,H,Boston,1,1,2,4,-205,-200,5.5,-115,5.5,-120.0
125,3,V,Carolina,0,0,3,3,125,135,5.5,100,5.5,105.0
125,4,H,Buffalo,0,0,1,1,-145,-155,5.5,-120,5.5,-125.0
125,5,V,Washington,0,0,2,2,115,150,5.5,110,5.5,125.0
125,6,H,NewJersey,1,1,0,3,-135,-170,5.5,-130,5.5,-145.0
125,7,V,Ottawa,0,4,0,4,-105,110,5.5,-135,5.5,-135.0
125,8,H,TampaBay,1,2,3,6,-115,-130,5.5,115,5.5,115.0
125,9,V,Minnesota,0,2,1,3,110,105,5.5,100,5.5,125.0
125,10,H,Detroit,0,4,1,5,-130,-125,5.5,-120,5.5,-145.0
125,11,V,Pittsburgh,2,0,0,2,-135,-140,5.5,-135,5.5,-135.0
125,12,H,Winnipeg,0,3,1,4,115,120,5.5,115,5.5,115.0
125,13,V,Vancouver,2,1,2,5,-105,100,5.5,-111,5.5,-105.0
125,14,H,Anaheim,0,0,0,0,-115,-120,5.5,-109,5.5,-115.0
126,51,V,Colorado,0,0,0,0,140,140,5.5,-105,5.5,105.0
126,52,H,SanJose,2,2,0,4,-160,-160,5.5,-115,5.5,-125.0
126,53,V,Toronto,2,0,0,2,150,160,5.5,100,5.5,115.0
126,54,H,NYRangers,0,1,4,5,-170,-180,5.5,-120,5.5,-135.0
126,55,V,Chicago,1,1,1,3,-145,-170,5.5,-110,5.5,-115.0
126,56,H,Columbus,1,0,1,2,125,150,5.5,-110,5.5,-105.0
126,57,V,Philadelphia,3,2,2,7,-125,-115,5.5,115,5.5,125.0
126,58,H,Florida,0,1,0,1,105,-105,5.5,-135,5.5,-145.0
126,59,V,St.Louis,1,3,0,4,-130,-165,5,-115,5.0,-130.0
126,60,H,Dallas,2,0,1,3,110,145,5,-105,5.0,110.0
126,61,V,LosAngeles,0,3,1,4,-130,-135,5,-130,5.0,-145.0
126,62,H,Phoenix,0,1,1,2,110,115,5,110,5.0,125.0
126,63,V,Edmonton,1,1,1,3,100,110,5.5,-105,5.5,-105.0
126,64,H,Calgary,2,2,0,4,-120,-130,5.5,-115,5.5,-115.0
126,65,V,Nashville,1,0,1,2,100,-115,5.5,115,5.5,120.0
126,66,H,Anaheim,0,1,1,3,-120,-105,5.5,-135,5.5,-140.0
127,1,V,Buffalo,1,0,1,2,-105,115,5.5,100,5.5,105.0
127,2,H,Washington,1,1,1,3,-115,-135,5.5,-120,5.5,-125.0
127,3,V,Pittsburgh,1,0,0,2,-120,-110,5.5,-140,5.5,-135.0
127,4,H,Ottawa,0,1,0,1,100,-110,5.5,120,5.5,115.0
127,5,V,NewJersey,0,1,2,3,-111,-110,5,-104,5.0,-120.0
127,6,H,Montreal,2,0,1,4,-109,-110,5,-116,5.0,100.0
127,7,V,Philadelphia,1,0,0,1,-105,125,6,-105,6.0,-105.0
127,8,H,TampaBay,3,0,2,5,-115,-145,6,-115,6.0,-115.0
127,9,V,Minnesota,0,3,1,4,136,140,5,-115,5.0,-125.0
127,10,H,St.Louis,1,1,2,5,-156,-160,5,-105,5.0,105.0
127,11,V,Detroit,0,0,1,1,120,130,5.5,-109,5.5,-115.0
127,12,H,Chicago,1,0,0,2,-140,-150,5.5,-111,5.5,-105.0
127,13,V,NYIslanders,1,0,3,4,120,115,5.5,-120,5.5,-115.0
127,14,H,Winnipeg,1,1,2,5,-140,-135,5.5,100,5.5,-105.0
127,15,V,Vancouver,0,1,0,1,105,100,5.5,-104,5.5,100.0
127,16,H,SanJose,2,1,1,4,-125,-120,5.5,-116,5.5,-120.0
128,51,V,Boston,2,1,2,5,-125,-110,5.5,-110,5.5,-110.0
128,52,H,Carolina,1,2,0,3,105,-110,5.5,-110,5.5,-110.0
128,53,V,Dallas,0,1,0,1,-104,-120,5.5,-105,5.5,115.0
128,54,H,Columbus,0,1,1,2,-116,100,5.5,-115,5.5,-135.0
128,55,V,Nashville,0,0,0,0,-104,-120,5.5,-105,5.5,110.0
128,56,H,Phoenix,1,1,2,4,-116,100,5.5,-115,5.5,-130.0
128,57,V,Colorado,0,0,1,1,110,130,5.5,-105,5.5,105.0
128,58,H,Edmonton,2,1,1,4,-130,-150,5.5,-115,5.5,-125.0
128,59,V,Vancouver,1,1,0,2,110,125,5,-125,5.0,-130.0
128,60,H,LosAngeles,0,1,1,3,-130,-145,5,105,5.0,110.0
129,1,V,NewJersey,0,1,0,1,130,145,5,-120,5.0,-130.0
129,2,H,Boston,0,0,1,2,-150,-165,5,100,5.0,110.0
129,3,V,Philadelphia,0,0,1,1,131,150,5.5,105,5.5,115.0
129,4,H,NYRangers,1,1,0,2,-151,-170,5.5,-125,5.5,-135.0
129,5,V,Toronto,1,2,0,4,135,135,5.5,100,5.5,100.0
129,6,H,Buffalo,1,1,1,3,-155,-155,5.5,-120,5.5,-120.0
129,7,V,NYIslanders,1,3,0,4,180,180,6,100,5.5,-130.0
129,8,H,Pittsburgh,0,0,1,1,-210,-210,6,-120,5.5,110.0
129,9,V,Winnipeg,1,2,0,3,125,115,5.5,-105,5.5,120.0
129,10,H,Montreal,2,1,1,4,-145,-135,5.5,-115,5.5,-140.0
129,11,V,Florida,1,0,1,2,155,150,5.5,-120,5.5,-115.0
129,12,H,TampaBay,2,2,1,5,-175,-170,5.5,100,5.5,-105.0
129,13,V,Washington,2,0,0,2,125,125,5.5,100,5.5,100.0
129,14,H,Ottawa,0,1,2,3,-145,-145,5.5,-120,5.5,-120.0
129,15,V,Dallas,0,1,0,1,131,150,5.5,100,5.5,120.0
129,16,H,Detroit,0,2,2,4,-151,-170,5.5,-120,5.5,-140.0
129,17,V,Columbus,0,1,1,2,151,170,5.5,115,5.5,120.0
129,18,H,Minnesota,2,0,1,3,-171,-200,5.5,-135,5.5,-140.0
129,19,V,Anaheim,0,2,0,2,146,145,5.5,-111,5.5,-105.0
129,20,H,SanJose,1,0,1,3,-166,-165,5.5,-109,5.5,-115.0
130,51,V,Montreal,1,0,0,1,130,130,5.5,-105,5.5,100.0
130,52,H,Ottawa,1,3,1,5,-150,-150,5.5,-115,5.5,-120.0
130,53,V,Chicago,2,0,0,2,-115,-135,5.5,-105,5.5,115.0
130,54,H,Minnesota,1,1,0,3,-105,115,5.5,-115,5.5,-135.0
130,55,V,Edmonton,1,0,0,2,100,110,5.5,-105,5.5,100.0
130,56,H,Phoenix,0,0,1,1,-120,-130,5.5,-115,5.5,-120.0
130,57,V,Colorado,0,0,0,0,140,160,5.5,105,5.5,120.0
130,58,H,Vancouver,1,1,1,3,-160,-180,5.5,-125,5.5,-140.0
131,1,V,Pittsburgh,1,0,2,3,105,100,5.5,-105,5.5,125.0
131,2,H,NYRangers,0,0,0,0,-125,-120,5.5,-115,5.5,-145.0
131,3,V,Buffalo,0,3,4,7,157,155,5.5,105,5.5,115.0
131,4,H,Boston,0,3,1,4,-177,-175,5.5,-125,5.5,-135.0
131,5,V,NYIslanders,1,2,1,5,145,120,5.5,130,5.5,130.0
131,6,H,NewJersey,0,3,1,4,-165,-140,5.5,-150,5.5,-150.0
131,7,V,St.Louis,3,0,1,4,-170,-180,5,-140,5.0,-140.0
131,8,H,Columbus,0,1,0,1,150,160,5,120,5.0,120.0
131,9,V,Washington,1,1,0,2,100,-110,5.5,-105,5.5,-115.0
131,10,H,Toronto,1,0,2,3,-120,-110,5.5,-115,5.5,-105.0
131,11,V,Winnipeg,0,1,2,3,-115,-110,5.5,-111,5.5,105.0
131,12,H,Florida,0,1,5,6,-105,-110,5.5,-109,5.5,-125.0
131,13,V,Colorado,1,2,3,6,120,155,5.5,-105,5.5,125.0
131,14,H,Calgary,1,2,0,3,-140,-175,5.5,-115,5.5,-145.0
131,15,V,Edmonton,0,1,1,2,173,170,5.5,-111,5.5,100.0
131,16,H,SanJose,0,2,0,3,-193,-200,5.5,-109,5.5,-120.0
131,17,V,Nashville,1,0,0,2,135,135,5,-110,5.0,100.0
131,18,H,LosAngeles,1,0,0,1,-155,-155,5,-110,5.0,-120.0
201,51,V,Ottawa,0,0,0,0,101,105,5.5,-105,5.5,-105.0
201,52,H,Carolina,1,0,0,1,-121,-125,5.5,-115,5.5,-115.0
201,53,V,Philadelphia,0,1,1,2,-104,-120,5.5,-111,5.5,-105.0
201,54,H,Washington,0,1,2,3,-116,100,5.5,-109,5.5,-115.0
201,55,V,St.Louis,2,1,0,3,-111,-110,5.5,110,5.5,125.0
201,56,H,Detroit,2,0,3,5,-109,-110,5.5,-130,5.5,-145.0
201,57,V,Winnipeg,0,0,3,3,135,170,6,-111,6.0,-110.0
201,58,H,TampaBay,3,3,2,8,-155,-200,6,-109,6.0,-110.0
201,59,V,Phoenix,1,2,0,3,108,100,5,-135,5.0,-135.0
201,60,H,Dallas,2,1,0,4,-128,-120,5,115,5.0,115.0
201,61,V,Minnesota,1,0,0,1,103,105,5.5,115,5.5,120.0
201,62,H,Anaheim,0,1,2,3,-123,-125,5.5,-135,5.5,-140.0
201,63,V,Chicago,0,0,1,1,-105,110,5.5,-111,5.5,115.0
201,64,H,Vancouver,1,0,0,2,-115,-130,5.5,-109,5.5,-135.0
202,1,V,NewJersey,0,1,0,1,140,135,5.5,110,5.5,115.0
202,2,H,Pittsburgh,0,2,3,5,-160,-155,5.5,-130,5.5,-135.0
202,3,V,Buffalo,0,0,1,1,108,115,5.5,115,5.5,130.0
202,4,H,Montreal,1,3,2,6,-128,-135,5.5,-135,5.5,-150.0
202,5,V,Edmonton,1,0,0,1,-102,110,5.5,-105,5.5,130.0
202,6,H,Colorado,0,2,1,3,-118,-130,5.5,-115,5.5,-150.0
202,7,V,Boston,1,0,0,1,-125,-150,5.5,-105,5.5,100.0
202,8,H,Toronto,0,0,0,0,105,130,5.5,-115,5.5,-120.0
202,9,V,Detroit,1,0,1,2,-128,-135,5.5,100,5.5,110.0
202,10,H,Columbus,1,2,1,4,108,115,5.5,-120,5.5,-130.0
202,11,V,NYRangers,0,1,2,3,-101,105,5.5,-104,5.5,-120.0
202,12,H,TampaBay,0,1,1,2,-119,-125,5.5,-116,5.5,100.0
202,13,V,Carolina,2,0,1,3,129,110,5.5,-104,5.5,-110.0
202,14,H,Philadelphia,3,2,0,5,-149,-130,5.5,-116,5.5,-110.0
202,15,V,Dallas,0,0,0,0,115,135,5,-130,5.0,-140.0
202,16,H,Phoenix,0,1,1,2,-135,-155,5,110,5.0,120.0
202,17,V,Chicago,0,0,2,3,-120,-115,5.5,-104,5.5,-110.0
202,18,H,Calgary,0,0,2,2,100,-105,5.5,-116,5.5,-110.0
202,19,V,LosAngeles,2,2,0,4,-109,-115,5,-115,5.0,-120.0
202,20,H,Anaheim,3,2,2,7,-111,-105,5,-105,5.0,100.0
202,21,V,Nashville,0,0,1,2,135,160,5,-125,5.0,-120.0
202,22,H,SanJose,0,0,1,1,-155,-180,5,105,5.0,100.0
203,51,V,Pittsburgh,2,3,1,6,-120,-135,5.5,105,5.5,100.0
203,52,H,Washington,1,1,1,3,100,115,5.5,-125,5.5,-120.0
203,53,V,Ottawa,1,0,0,1,100,110,5.5,105,5.5,130.0
203,54,H,Montreal,2,0,0,2,-120,-130,5.5,-125,5.5,-150.0
203,55,V,Florida,1,2,1,4,135,125,5.5,105,5.5,115.0
203,56,H,Buffalo,2,1,0,3,-155,-145,5.5,-125,5.5,-135.0
203,57,V,NewJersey,0,0,3,3,-105,105,5.5,115,5.5,120.0
203,58,H,NYIslanders,0,0,0,0,-115,-125,5.5,-135,5.5,-140.0
204,1,V,Carolina,0,2,2,4,-110,100,5.5,-104,5.5,-110.0
204,2,H,Toronto,1,0,0,1,-110,-120,5.5,-116,5.5,-110.0
204,3,V,Dallas,2,1,0,3,115,110,5,-120,5.0,-120.0
204,4,H,Colorado,1,1,0,2,-135,-130,5,100,5.0,100.0
204,5,V,Minnesota,0,1,0,1,100,115,5,-115,5.0,-125.0
204,6,H,Phoenix,1,1,0,2,-120,-135,5,-105,5.0,105.0
204,7,V,Vancouver,0,1,1,3,-115,-130,5.5,105,5.5,125.0
204,8,H,Edmonton,1,1,0,2,-105,110,5.5,-125,5.5,-145.0
204,9,V,SanJose,1,0,0,1,-115,-110,5.5,-105,5.5,105.0
204,10,H,Anaheim,0,0,2,2,-105,-110,5.5,-115,5.5,-125.0
205,51,V,Pittsburgh,1,1,2,4,-133,-145,5.5,-125,5.5,-130.0
205,52,H,NYIslanders,0,0,2,2,113,125,5.5,105,5.5,110.0
205,53,V,NYRangers,0,0,1,1,-104,-110,5,-105,5.0,-105.0
205,54,H,NewJersey,2,0,1,3,-116,-110,5,-115,5.0,-115.0
205,55,V,LosAngeles,0,3,1,4,-123,-155,5.5,110,5.5,120.0
205,56,H,Columbus,1,1,0,2,103,135,5.5,-130,5.5,-140.0
205,57,V,Toronto,2,1,0,3,125,135,5.5,-104,5.5,-110.0
205,58,H,Washington,1,0,1,2,-145,-155,5.5,-116,5.5,-110.0
205,59,V,TampaBay,0,0,1,1,-107,100,6,-105,6.0,-105.0
205,60,H,Philadelphia,0,1,1,2,-113,-120,6,-115,6.0,-115.0
205,61,V,Buffalo,1,1,1,3,-140,125,5.5,105,5.5,110.0
205,62,H,Ottawa,3,1,0,4,120,-145,5.5,-125,5.5,-130.0
205,63,V,Calgary,2,1,1,4,143,130,5.5,100,5.5,110.0
205,64,H,Detroit,0,1,0,1,-163,-150,5.5,-120,5.5,-130.0
205,65,V,Florida,1,1,0,2,128,115,5.5,-111,5.5,-105.0
205,66,H,Winnipeg,0,2,0,3,-148,-135,5.5,-109,5.5,-115.0
205,67,V,Nashville,3,2,1,6,145,170,5,-105,5.0,110.0
205,68,H,St.Louis,0,1,0,1,-165,-200,5,-115,5.0,-130.0
205,69,V,Chicago,3,1,1,5,110,-110,5.5,105,5.5,115.0
205,70,H,SanJose,3,0,0,3,-130,-110,5.5,-125,5.5,-135.0
206,1,V,Boston,0,0,2,2,-109,-110,5,-120,5.0,-130.0
206,2,H,Montreal,0,1,0,1,-111,-110,5,100,5.0,110.0
206,3,V,Anaheim,2,1,0,3,100,-130,5,-120,5.0,-150.0
206,4,H,Colorado,0,0,0,0,-120,110,5,100,5.0,130.0
206,5,V,Dallas,0,2,0,3,100,100,5,-120,5.0,-135.0
206,6,H,Edmonton,0,1,1,2,-120,-120,5,100,5.0,115.0
207,51,V,Calgary,1,1,1,4,-111,-115,5.5,-105,5.5,105.0
207,52,H,Columbus,2,0,1,3,-109,-105,5.5,-115,5.5,-125.0
207,53,V,NYIslanders,0,1,0,1,140,140,5.5,110,5.5,130.0
207,54,H,NYRangers,2,1,1,4,-160,-160,5.5,-130,5.5,-150.0
207,55,V,Montreal,1,2,1,4,105,120,5.5,110,5.5,110.0
207,56,H,Buffalo,1,1,2,5,-125,-140,5.5,-130,5.5,-130.0
207,57,V,Washington,1,0,1,2,175,170,5.5,-115,5.5,-125.0
207,58,H,Pittsburgh,0,5,0,5,-195,-200,5.5,-105,5.5,105.0
207,59,V,TampaBay,0,1,1,2,105,110,5.5,-105,5.5,105.0
207,60,H,NewJersey,0,2,2,4,-125,-130,5.5,-115,5.5,-125.0
207,61,V,Florida,1,0,1,3,138,125,5.5,-105,5.5,120.0
207,62,H,Philadelphia,1,1,0,2,-158,-145,5.5,-115,5.5,-140.0
207,63,V,Carolina,0,1,1,3,108,105,5.5,100,5.5,-105.0
207,64,H,Ottawa,1,1,0,2,-128,-125,5.5,-120,5.5,-115.0
207,65,V,Toronto,0,1,2,3,130,115,5.5,-115,5.5,-120.0
207,66,H,Winnipeg,0,1,1,2,-150,-135,5.5,-105,5.5,100.0
207,67,V,LosAngeles,0,0,0,0,105,-115,5,105,5.0,110.0
207,68,H,Nashville,1,2,0,3,-125,-105,5,-125,5.0,-130.0
207,69,V,Detroit,2,2,1,5,145,170,5.5,100,5.5,125.0
207,70,H,St.Louis,0,1,0,1,-165,-190,5.5,-120,5.5,-145.0
207,71,V,Vancouver,2,2,0,4,-104,-120,5,-115,5.0,-110.0
207,72,H,Minnesota,0,0,1,1,-116,100,5,-105,5.0,-110.0
207,73,V,Chicago,4,2,0,6,-109,-110,5,-135,5.0,-150.0
207,74,H,Phoenix,0,1,1,2,-111,-110,5,115,5.0,130.0
208,1,V,Anaheim,0,1,0,1,-104,-120,5,-120,5.0,-140.0
208,2,H,Dallas,2,0,1,3,-116,100,5,100,5.0,120.0
209,51,V,Pittsburgh,1,0,0,1,-115,-110,5.5,105,5.5,120.0
209,52,H,NewJersey,0,1,2,3,-105,-110,5.5,-125,5.5,-140.0
209,53,V,Carolina,1,1,1,3,110,110,5.5,-105,5.5,105.0
209,54,H,Philadelphia,1,2,0,4,-130,-130,5.5,-115,5.5,-125.0
209,57,V,Winnipeg,0,0,1,1,120,145,5.5,-115,5.5,-125.0
209,58,H,Ottawa,0,0,0,0,-140,-165,5.5,-105,5.5,105.0
209,59,V,Edmonton,0,1,0,1,140,150,5.5,105,5.5,110.0
209,60,H,Detroit,0,1,1,2,-160,-170,5.5,-125,5.5,-130.0
209,61,V,Phoenix,0,0,0,1,150,140,5.5,105,5.5,125.0
209,62,H,SanJose,0,0,0,0,-170,-160,5.5,-125,5.5,-145.0
209,63,V,Florida,0,0,0,0,100,110,5.5,100,5.5,115.0
209,64,H,Washington,1,2,2,5,-120,-130,5.5,-120,5.5,-135.0
209,65,V,Buffalo,1,1,1,3,-105,100,5.5,-120,5.5,-125.0
209,66,H,NYIslanders,1,1,0,2,-115,-120,5.5,100,5.5,105.0
209,67,V,Toronto,2,2,2,6,135,150,5,-135,5.0,-150.0
209,68,H,Montreal,0,0,0,0,-155,-170,5,115,5.0,130.0
209,69,V,Anaheim,1,3,1,6,150,170,5,-130,5.0,-140.0
209,70,H,St.Louis,3,0,2,5,-170,-190,5,110,5.0,120.0
209,71,V,Nashville,1,0,0,1,106,110,5,105,5.0,115.0
209,72,H,Minnesota,0,1,0,2,-126,-130,5,-125,5.0,-135.0
209,73,V,Calgary,1,0,0,1,173,170,5.5,100,5.5,110.0
209,74,H,Vancouver,0,3,2,5,-193,-200,5.5,-120,5.5,-130.0
210,1,V,LosAngeles,1,0,1,2,105,-110,5,-135,5.0,-140.0
210,2,H,Detroit,2,0,1,3,-125,-110,5,115,5.0,120.0
210,3,V,Edmonton,1,0,2,3,-115,-115,5.5,105,5.5,115.0
210,4,H,Columbus,0,0,1,1,-105,-105,5.5,-125,5.5,-135.0
210,5,V,Boston,0,1,2,3,-130,-145,5.5,-104,5.5,-110.0
210,6,H,Buffalo,0,1,0,1,110,125,5.5,-116,5.5,-110.0
210,7,V,NewJersey,1,2,0,3,140,145,5,-140,5.0,-145.0
210,8,H,Pittsburgh,0,0,1,1,-160,-165,5,120,5.0,125.0
210,9,V,TampaBay,0,1,0,1,125,125,5.5,-105,5.5,105.0
210,10,H,NYRangers,2,1,2,5,-145,-145,5.5,-115,5.5,-125.0
210,11,V,Chicago,0,2,1,3,-125,-130,5,-130,5.0,-120.0
210,12,H,Nashville,0,0,0,0,105,110,5,110,5.0,100.0
211,51,V,SanJose,0,1,1,2,-155,-190,5.5,105,5.5,105.0
211,52,H,Columbus,1,2,3,6,135,170,5.5,-125,5.5,-125.0
211,53,V,Carolina,1,1,4,6,-110,-105,5.5,-110,5.5,-120.0
211,54,H,NYIslanders,1,2,1,4,-110,-115,5.5,-110,5.5,100.0
211,55,V,Philadelphia,1,0,1,2,-110,-115,5.5,-105,5.5,100.0
211,56,H,Toronto,1,3,1,5,-110,-105,5.5,-115,5.5,-120.0
211,57,V,LosAngeles,1,2,1,4,132,145,5,-111,5.0,-110.0
211,58,H,St.Louis,0,1,0,1,-152,-165,5,-109,5.0,-110.0
211,59,V,Minnesota,0,1,0,2,-110,-110,5,-135,5.0,-150.0
211,60,H,Calgary,0,0,1,1,-110,-110,5,115,5.0,130.0
211,61,V,Phoenix,1,0,1,3,-110,-120,5.5,115,5.0,-130.0
